0;0;4.5;507;7.5;511;10.5;515;13.5;519;16.5;523
1.5;409;4.5;423;7.5;439;10.5;458;13.5;475;16.5;500
1.5;316;4.5;316;7.5;312;10.5;317;13.5;327;16.5;382
0;0;4.5;543;7.5;552;10.5;565;13.5;574;16.5;584
1.5;511;4.5;519;7.5;519;10.5;527;13.5;543;16.5;552
1.5;391;4.5;393;7.5;399;10.5;413;13.5;428;16.5;468
0;0;4.5;511;7.5;511;10.5;511;13.5;511;16.5;519
1.5;471;4.5;478;7.5;488;10.5;492;13.5;496;16.5;504
1.5;321;4.5;325;7.5;337;10.5;339;13.5;344;16.5;373
0;0;4.5;588;7.5;588;10.5;588;13.5;613;16.5;623
1.5;552;4.5;570;7.5;574;10.5;579;13.5;598;16.5;608
1.5;481;4.5;481;7.5;489;10.5;496;13.5;503;16.5;520
